GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Oversigt Core,com.hlag.oversigt.sources.event,DoughnutChartEvent.Dataset,18,0,0,0,5,0,1,0,1,0
Oversigt Core,com.hlag.oversigt.sources.event,GraphEvent,13,0,0,0,6,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.sources.event,MapEvent.Point,150,0,0,0,40,0,12,0,12,0
Oversigt Core,com.hlag.oversigt.sources.event,TimelineEvent.Event,67,0,2,0,16,0,10,0,9,0
Oversigt Core,com.hlag.oversigt.sources.event,ProgressBarEvent.Item,23,0,0,0,10,0,5,0,5,0
Oversigt Core,com.hlag.oversigt.sources.event,HlBarChartEvent,15,0,0,0,6,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.sources.event,ComplexGraphEvent.Series,15,0,0,0,6,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.sources.event,PieChartEvent,45,0,0,0,10,0,4,0,4,0
Oversigt Core,com.hlag.oversigt.sources.event,ListEvent,9,0,0,0,4,0,2,0,2,0
Oversigt Core,com.hlag.oversigt.sources.event,ProgressBarEvent,21,0,0,0,9,0,4,0,4,0
Oversigt Core,com.hlag.oversigt.sources.event,TextEvent,9,0,0,0,4,0,2,0,2,0
Oversigt Core,com.hlag.oversigt.sources.event,StyleEvent,42,0,0,0,8,0,4,0,4,0
Oversigt Core,com.hlag.oversigt.sources.event,GraphEvent.Point,23,0,0,0,10,0,5,0,5,0
Oversigt Core,com.hlag.oversigt.sources.event,TimelineEvent,195,0,22,0,39,0,23,0,12,0
Oversigt Core,com.hlag.oversigt.sources.event,MapEvent,13,0,0,0,4,0,1,0,1,0
Oversigt Core,com.hlag.oversigt.sources.event,BarChartEvent,73,0,4,0,16,0,8,0,6,0
Oversigt Core,com.hlag.oversigt.sources.event,ComplexGraphEvent,31,0,0,0,12,0,5,0,5,0
Oversigt Core,com.hlag.oversigt.sources.event,TwoColumnListEvent,4,0,0,0,2,0,1,0,1,0
Oversigt Core,com.hlag.oversigt.sources.event,HlBarChartEvent.Serie,46,0,0,0,8,0,4,0,4,0
Oversigt Core,com.hlag.oversigt.sources.event,MeterEvent,18,0,0,0,8,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.sources.event,BarChartEvent.Dataset,64,0,0,0,18,0,7,0,7,0
Oversigt Core,com.hlag.oversigt.sources.event,JenkinsPipelineStatusEvent,4,0,0,0,2,0,1,0,1,0
Oversigt Core,com.hlag.oversigt.sources.event,NumberEvent,15,0,0,0,6,0,3,0,3,0
Oversigt Core,com.hlag.oversigt.sources.event,HlBarChartEvent.Category,21,0,0,0,8,0,4,0,4,0
Oversigt Core,com.hlag.oversigt.core,HttpHandlers.AssetsClassPathResourceManager,61,0,2,0,13,0,5,0,4,0
Oversigt Core,com.hlag.oversigt.core,CommandLineOptions,39,70,0,0,12,16,3,9,3,9
Oversigt Core,com.hlag.oversigt.core,OversigtServer.OversigtServerListener,46,0,2,0,15,0,6,0,5,0
Oversigt Core,com.hlag.oversigt.core,Oversigt,240,0,14,0,56,0,15,0,8,0
Oversigt Core,com.hlag.oversigt.core,OversigtServer,279,0,8,0,70,0,11,0,7,0
Oversigt Core,com.hlag.oversigt.core,HttpHandlers,1151,0,50,0,238,0,68,0,42,0
Oversigt Core,com.hlag.oversigt.core,Oversigt.Builder,103,0,0,0,16,0,5,0,5,0
Oversigt Core,com.hlag.oversigt.core,OversigtServer.new Consumer() {...},26,0,2,0,7,0,4,0,3,0
